中文,繁體,英文,拼音,领域,适用法域,来源地区,类型,来源语境,学习注释,来源记录,条目ID,数据许可,译文审核,中文释义,译法说明,法律依据
书面审理,書面審理,documents-only arbitration proceeding,shu1 mian4 shen3 li3,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,这是当事人协议下的不开庭方式，不应与法院书面审理制度或仲裁不公开原则混同。,oll-cn-dispute-resolution:cn-arb-documents-only-proceeding,cn-arb-documents-only-proceeding,CC-BY-4.0,project_authored,当事人协议不开庭时，仲裁庭依据仲裁申请书、答辩书及其他材料进行审理并作出裁决。,项目释译，非官方译文；documents-only proceeding is descriptive and avoids assuming a particular foreign arbitration-rule label.,中华人民共和国仲裁法（2025修订） 第51条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
书面形式,書面形式,written form,shu1 mian4 xing2 shi4,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,可随时调取查用并能有形表现内容的电子邮件等，视为书面形式。,oll-cn-core:cn-written-form,cn-written-form,CC-BY-4.0,project_authored,能够有形表现所载内容的合同形式，包括符合条件的数据电文。,项目释译，非官方译文；written form 不限于纸张和手写签名。,中华人民共和国民法典（2020） 第469条 https://www.court.gov.cn/zixun/xiangqing/233181.html
从价计征,從價計徵,ad valorem assessment,cong2 jia4 ji4 zheng1,"tax,trade",CN,INTERNATIONAL,action,中华人民共和国关税法（2024）,第二十三条并列规定从价、从量和复合计征三种方式；从价计征的核心变量是计税价格和比例税率。,oll-cn-tax-trade:cn-customs-ad-valorem,cn-customs-ad-valorem,CC-BY-4.0,project_authored,按照货物计税价格乘以比例税率计算关税应纳税额的计征方式。,项目释译，非官方译文；ad valorem assessment 表示按价值计征关税。,中华人民共和国关税法（2024） 第23条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5234556/content.html
从犯,從犯,accessory offender,cong2 fan4,criminal,CN,INTERNATIONAL,role,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,第二十七条规定从犯应当从轻、减轻处罚或者免除处罚。,oll-cn-criminal:cn-accessory-offender,cn-accessory-offender,CC-BY-4.0,project_authored,在共同犯罪中起次要或者辅助作用的犯罪人。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第27条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
从量计征,從量計徵,specific duty assessment,cong2 liang2 ji4 zheng1,"tax,trade",CN,INTERNATIONAL,action,中华人民共和国关税法（2024）,第二十三条规定从量计征以货物数量和定额税率计算，不应与按计税价格计算的从价计征混淆。,oll-cn-tax-trade:cn-customs-specific-duty,cn-customs-specific-duty,CC-BY-4.0,project_authored,按照货物数量乘以定额税率计算关税应纳税额的计征方式。,项目释译，非官方译文；specific duty assessment 表示按数量计征。,中华人民共和国关税法（2024） 第23条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5234556/content.html
代理,代理,agency,dai4 li3,civil,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,法律、约定或行为性质要求本人亲自实施的行为，不得代理。,oll-cn-core:cn-agency,cn-agency,CC-BY-4.0,project_authored,代理人在代理权限内，以被代理人名义实施民事法律行为并使其效力归于被代理人的制度。,项目释译，非官方译文；agency 还可表示机构；本条专指民事代理制度。,"中华人民共和国民法典（2020） 第161,162条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
仲裁不公开,仲裁不公開,non-public arbitration proceedings,zhong4 cai2 bu4 gong1 kai1,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,“不公开”主要描述程序是否向公众开放，不应仅凭该条推导出无限范围的保密义务。,oll-cn-dispute-resolution:cn-arb-confidential-nonpublic,cn-arb-confidential-nonpublic,CC-BY-4.0,project_authored,仲裁原则上不公开进行；当事人可以协议公开，但涉及国家秘密、他人商业秘密或者个人隐私的除外。,项目释译，非官方译文；non-public is chosen instead of automatically translating the rule as a comprehensive confidentiality obligation.,中华人民共和国仲裁法（2025修订） 第52条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
仲裁举证责任,仲裁舉證責任,burden to provide evidence in arbitration,zhong4 cai2 ju3 zheng4 ze2 ren4,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,该规则与法院诉讼的举证规则分别记录，具体证明标准和证据管理还可能受仲裁规则影响。,oll-cn-dispute-resolution:cn-arb-burden-produce-evidence,cn-arb-burden-produce-evidence,CC-BY-4.0,project_authored,当事人对自己的主张负有提供证据的责任；仲裁庭认为有必要时可以自行收集证据。,项目释译，非官方译文；burden to provide evidence is descriptive and does not import every foreign-law burden-of-proof distinction.,中华人民共和国仲裁法（2025修订） 第55条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
仲裁保全,仲裁保全,preservation measures in support of arbitration,zhong4 cai2 bao3 quan2,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,仲裁机构通常将仲裁中的申请提交法院；申请仲裁前紧急保全可依法直接向法院申请。,oll-cn-dispute-resolution:cn-arb-preservation-measures,cn-arb-preservation-measures,CC-BY-4.0,project_authored,仲裁过程中或法定紧急情况下申请仲裁前，为防止裁决难以执行或其他损害而向人民法院寻求的财产或行为保全措施。,项目释译，非官方译文；preservation measures in support of arbitration covers court-ordered asset or conduct measures and is distinct from evidence preservation.,中华人民共和国仲裁法（2025修订） 第39条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
仲裁协议,仲裁協議,arbitration agreement,zhong4 cai2 xie2 yi4,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,协议应包括请求仲裁的意思表示、仲裁事项和选定的仲裁机构；法律还规定特定情形下的视为存在规则。,oll-cn-dispute-resolution:cn-arb-arbitration-agreement,cn-arb-arbitration-agreement,CC-BY-4.0,project_authored,当事人以仲裁条款或其他书面方式达成的将特定争议提交仲裁的协议。,项目释译，非官方译文；arbitration agreement includes an arbitration clause or a separate written agreement in the statutory sense.,"中华人民共和国仲裁法（2025修订） 第4,27条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718"
仲裁协议排除法院受理,仲裁協議排除法院受理,effect of an arbitration agreement on court proceedings,zhong4 cai2 xie2 yi4 pai2 chu2 fa3 yuan4 shou4 li3,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,法院已受理后，被告是否在首次开庭前提交仲裁协议并提出异议会影响后续处理；不能简单写成法院永远没有权力。,oll-cn-dispute-resolution:cn-arb-court-effect-arbitration-agreement,cn-arb-court-effect-arbitration-agreement,CC-BY-4.0,project_authored,存在有效仲裁协议时，一方就约定争议向人民法院起诉，法律原则上排除法院对该诉讼的受理，但仲裁协议无效或法律另有规定的除外。,项目释译，非官方译文；the phrase describes the procedural effect in PRC law and does not assert a universal jurisdictional doctrine.,"中华人民共和国仲裁法（2025修订） 第5,37条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718"
仲裁协议效力异议,仲裁協議效力異議,challenge to the validity of an arbitration agreement,zhong4 cai2 xie2 yi4 xiao4 li4 yi4 yi4,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国仲裁法（2025修订）,异议应在仲裁庭首次开庭前提出；一方向仲裁机构或仲裁庭请求、另一方向法院请求时，由人民法院裁定。,oll-cn-dispute-resolution:cn-arb-challenge-validity-agreement,cn-arb-challenge-validity-agreement,CC-BY-4.0,project_authored,当事人对仲裁协议是否有效提出异议，请求仲裁机构、仲裁庭或人民法院依法作出决定或裁定。,项目释译，非官方译文；challenge to validity is procedural and does not predetermine that the arbitration agreement is invalid.,中华人民共和国仲裁法（2025修订） 第31条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
仲裁协议无效,仲裁協議無效,invalid arbitration agreement,zhong4 cai2 xie2 yi4 wu2 xiao4,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,仲裁协议无效与主合同无效不是同一问题；仲裁协议具有独立性。,oll-cn-dispute-resolution:cn-arb-invalid-arbitration-agreement,cn-arb-invalid-arbitration-agreement,CC-BY-4.0,project_authored,仲裁协议因仲裁事项超出法定仲裁范围、当事人民事行为能力欠缺、胁迫等法定事由，或者必要内容无法补充明确而无效。,项目释译，非官方译文；invalid arbitration agreement is kept distinct from invalidity of the underlying contract.,"中华人民共和国仲裁法（2025修订） 第28,29条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718"
仲裁协议独立性,仲裁協議獨立性,separability of the arbitration agreement,zhong4 cai2 xie2 yi4 du2 li4 xing4,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,仲裁庭有权确认合同效力；判断仲裁协议自身是否有效仍须适用仲裁法的专门规则。,oll-cn-dispute-resolution:cn-arb-separability,cn-arb-separability,CC-BY-4.0,project_authored,仲裁协议独立于基础合同存在，合同是否成立以及变更、不生效、终止、撤销或无效，不当然影响已达成仲裁协议的效力。,"项目释译，非官方译文；separability is a conventional arbitration term, with scope defined here by Article 30.",中华人民共和国仲裁法（2025修订） 第30条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
仲裁反请求,仲裁反請求,counterclaim in arbitration,zhong4 cai2 fan3 qing3 qiu2,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国仲裁法（2025修订）,申请人可以放弃或变更仲裁请求，被申请人可以承认、反驳并提出反请求；具体受理条件还应结合仲裁规则。,oll-cn-dispute-resolution:cn-arb-counterclaim,cn-arb-counterclaim,CC-BY-4.0,project_authored,仲裁被申请人在仲裁程序中针对申请人依法提出自己的仲裁请求。,项目释译，非官方译文；counterclaim in arbitration is distinguished from a counterclaim filed in court litigation.,中华人民共和国仲裁法（2025修订） 第38条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
仲裁员回避,仲裁員迴避,recusal or challenge of an arbitrator,zhong4 cai2 yuan2 hui2 bi4,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,回避申请原则上在首次开庭前提出，后知悉事由可在最后一次开庭终结前提出；决定主体依法律确定。,oll-cn-dispute-resolution:cn-arb-arbitrator-recusal,cn-arb-arbitrator-recusal,CC-BY-4.0,project_authored,仲裁员具有法定利害关系、可能影响公正仲裁等情形时应当回避，当事人也有权提出回避申请。,项目释译，非官方译文；recusal or challenge is used because the Chinese mechanism covers mandatory recusal and a party’s challenge request.,"中华人民共和国仲裁法（2025修订） 第46,47,48条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718"
仲裁员披露,仲裁員披露,arbitrator disclosure,zhong4 cai2 yuan2 pi1 lu4,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国仲裁法（2025修订）,披露义务与是否必须回避是相关但不同的问题；仲裁机构还应将披露和仲裁庭组成情况书面通知当事人。,oll-cn-dispute-resolution:cn-arb-arbitrator-disclosure,cn-arb-arbitrator-disclosure,CC-BY-4.0,project_authored,仲裁员存在可能使当事人对其独立性、公正性产生合理怀疑的情形时，及时向仲裁机构作书面披露。,"项目释译，非官方译文；arbitrator disclosure is a conventional arbitration expression, with the statutory trigger defined by Article 45.",中华人民共和国仲裁法（2025修订） 第45条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
仲裁和解,仲裁和解,settlement during arbitration,zhong4 cai2 he2 jie3,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,达成和解后，可以请求仲裁庭根据和解协议制作裁决书，也可以撤回仲裁申请；与仲裁庭主持的调解不同。,oll-cn-dispute-resolution:cn-arb-settlement,cn-arb-settlement,CC-BY-4.0,project_authored,仲裁申请提出后，当事人自行协商解决争议并达成和解协议。,项目释译，非官方译文；settlement is party-negotiated resolution and is distinguished here from mediation by the arbitral tribunal.,中华人民共和国仲裁法（2025修订） 第62条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
仲裁地,仲裁地,seat of arbitration,zhong4 cai2 di4,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,仲裁地没有约定或约定不明时，可依仲裁规则或由仲裁庭依法确定；仲裁地不等同于开庭地点或仲裁机构办公地点。,oll-cn-dispute-resolution:cn-arb-seat,cn-arb-seat,CC-BY-4.0,project_authored,涉外仲裁中，当事人可书面约定仲裁地；除另有约定外，仲裁地用于确定仲裁程序适用法和司法管辖法院，裁决视为在仲裁地作出。,项目释译，非官方译文；seat of arbitration is used in the statutory sense and is expressly distinguished from a mere hearing venue.,中华人民共和国仲裁法（2025修订） 第81条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
仲裁庭组成,仲裁庭組成,composition of the arbitral tribunal,zhong4 cai2 ting2 zu3 cheng2,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,三人仲裁庭设首席仲裁员；当事人未在规则期限内完成组成方式或仲裁员选择时，仲裁机构主任依法处理。,oll-cn-dispute-resolution:cn-arb-tribunal-composition,cn-arb-tribunal-composition,CC-BY-4.0,project_authored,仲裁庭依法由一名或三名仲裁员组成，并依当事人约定和仲裁规则完成仲裁员选定或指定。,项目释译，非官方译文；composition of the arbitral tribunal describes constitution of the tribunal under the PRC statute.,"中华人民共和国仲裁法（2025修订） 第42,43,44条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718"
